time_ms,Subject,Channel,value
102.0,7244_4_ants_ERN_err.dat,FCz,-5.28827
104.0,7244_4_ants_ERN_err.dat,FCz,-5.44788
106.0,7244_4_ants_ERN_err.dat,FCz,-5.65786
108.0,7244_4_ants_ERN_err.dat,FCz,-5.92199
110.0,7244_4_ants_ERN_err.dat,FCz,-6.23866
112.0,7244_4_ants_ERN_err.dat,FCz,-6.60038
114.0,7244_4_ants_ERN_err.dat,FCz,-6.99345
116.0,7244_4_ants_ERN_err.dat,FCz,-7.39893
118.0,7244_4_ants_ERN_err.dat,FCz,-7.79419
120.0,7244_4_ants_ERN_err.dat,FCz,-8.15478
122.0,7244_4_ants_ERN_err.dat,FCz,-8.45708
124.0,7244_4_ants_ERN_err.dat,FCz,-8.68051
126.0,7244_4_ants_ERN_err.dat,FCz,-8.80975
128.0,7244_4_ants_ERN_err.dat,FCz,-8.83617
130.0,7244_4_ants_ERN_err.dat,FCz,-8.75888
132.0,7244_4_ants_ERN_err.dat,FCz,-8.58462
134.0,7244_4_ants_ERN_err.dat,FCz,-8.32712
136.0,7244_4_ants_ERN_err.dat,FCz,-8.00591
138.0,7244_4_ants_ERN_err.dat,FCz,-7.64411
140.0,7244_4_ants_ERN_err.dat,FCz,-7.26631
142.0,7244_4_ants_ERN_err.dat,FCz,-6.89611
144.0,7244_4_ants_ERN_err.dat,FCz,-6.55406
146.0,7244_4_ants_ERN_err.dat,FCz,-6.25602
148.0,7244_4_ants_ERN_err.dat,FCz,-6.01214
150.0,7244_4_ants_ERN_err.dat,FCz,-5.82655
152.0,7244_4_ants_ERN_err.dat,FCz,-5.69764
154.0,7244_4_ants_ERN_err.dat,FCz,-5.61895
156.0,7244_4_ants_ERN_err.dat,FCz,-5.58045
158.0,7244_4_ants_ERN_err.dat,FCz,-5.57021
160.0,7244_4_ants_ERN_err.dat,FCz,-5.57584
162.0,7244_4_ants_ERN_err.dat,FCz,-5.58603
164.0,7244_4_ants_ERN_err.dat,FCz,-5.59178
166.0,7244_4_ants_ERN_err.dat,FCz,-5.58731
168.0,7244_4_ants_ERN_err.dat,FCz,-5.57012
170.0,7244_4_ants_ERN_err.dat,FCz,-5.54132
172.0,7244_4_ants_ERN_err.dat,FCz,-5.50459
174.0,7244_4_ants_ERN_err.dat,FCz,-5.46526
176.0,7244_4_ants_ERN_err.dat,FCz,-5.42923
178.0,7244_4_ants_ERN_err.dat,FCz,-5.40149
180.0,7244_4_ants_ERN_err.dat,FCz,-5.38532
182.0,7244_4_ants_ERN_err.dat,FCz,-5.38149
184.0,7244_4_ants_ERN_err.dat,FCz,-5.3882
186.0,7244_4_ants_ERN_err.dat,FCz,-5.4012
188.0,7244_4_ants_ERN_err.dat,FCz,-5.41455
190.0,7244_4_ants_ERN_err.dat,FCz,-5.42159
192.0,7244_4_ants_ERN_err.dat,FCz,-5.41593
194.0,7244_4_ants_ERN_err.dat,FCz,-5.39255
196.0,7244_4_ants_ERN_err.dat,FCz,-5.34839
198.0,7244_4_ants_ERN_err.dat,FCz,-5.2828
200.0,7244_4_ants_ERN_err.dat,FCz,-5.19706
202.0,7244_4_ants_ERN_err.dat,FCz,-5.09407
204.0,7244_4_ants_ERN_err.dat,FCz,-4.97754
206.0,7244_4_ants_ERN_err.dat,FCz,-4.85108
208.0,7244_4_ants_ERN_err.dat,FCz,-4.71787
210.0,7244_4_ants_ERN_err.dat,FCz,-4.58033
212.0,7244_4_ants_ERN_err.dat,FCz,-4.44025
214.0,7244_4_ants_ERN_err.dat,FCz,-4.2992
216.0,7244_4_ants_ERN_err.dat,FCz,-4.15907
218.0,7244_4_ants_ERN_err.dat,FCz,-4.02255
220.0,7244_4_ants_ERN_err.dat,FCz,-3.89361
222.0,7244_4_ants_ERN_err.dat,FCz,-3.77759
224.0,7244_4_ants_ERN_err.dat,FCz,-3.68096
226.0,7244_4_ants_ERN_err.dat,FCz,-3.6108
228.0,7244_4_ants_ERN_err.dat,FCz,-3.57377
230.0,7244_4_ants_ERN_err.dat,FCz,-3.57514
232.0,7244_4_ants_ERN_err.dat,FCz,-3.61766
234.0,7244_4_ants_ERN_err.dat,FCz,-3.70096
236.0,7244_4_ants_ERN_err.dat,FCz,-3.82135
238.0,7244_4_ants_ERN_err.dat,FCz,-3.9724
240.0,7244_4_ants_ERN_err.dat,FCz,-4.14607
242.0,7244_4_ants_ERN_err.dat,FCz,-4.3337
244.0,7244_4_ants_ERN_err.dat,FCz,-4.52768
246.0,7244_4_ants_ERN_err.dat,FCz,-4.7221
248.0,7244_4_ants_ERN_err.dat,FCz,-4.91354
250.0,7244_4_ants_ERN_err.dat,FCz,-5.10087
252.0,7244_4_ants_ERN_err.dat,FCz,-5.28532
254.0,7244_4_ants_ERN_err.dat,FCz,-5.46984
256.0,7244_4_ants_ERN_err.dat,FCz,-5.65852
258.0,7244_4_ants_ERN_err.dat,FCz,-5.85602
260.0,7244_4_ants_ERN_err.dat,FCz,-6.06666
262.0,7244_4_ants_ERN_err.dat,FCz,-6.29379
264.0,7244_4_ants_ERN_err.dat,FCz,-6.53896
266.0,7244_4_ants_ERN_err.dat,FCz,-6.80154
268.0,7244_4_ants_ERN_err.dat,FCz,-7.07847
270.0,7244_4_ants_ERN_err.dat,FCz,-7.36447
272.0,7244_4_ants_ERN_err.dat,FCz,-7.65266
274.0,7244_4_ants_ERN_err.dat,FCz,-7.93525
276.0,7244_4_ants_ERN_err.dat,FCz,-8.20482
278.0,7244_4_ants_ERN_err.dat,FCz,-8.45485
280.0,7244_4_ants_ERN_err.dat,FCz,-8.68076
282.0,7244_4_ants_ERN_err.dat,FCz,-8.88013
284.0,7244_4_ants_ERN_err.dat,FCz,-9.0527
286.0,7244_4_ants_ERN_err.dat,FCz,-9.1999
288.0,7244_4_ants_ERN_err.dat,FCz,-9.32432
290.0,7244_4_ants_ERN_err.dat,FCz,-9.42901
292.0,7244_4_ants_ERN_err.dat,FCz,-9.51699
294.0,7244_4_ants_ERN_err.dat,FCz,-9.59093
296.0,7244_4_ants_ERN_err.dat,FCz,-9.65298
298.0,7244_4_ants_ERN_err.dat,FCz,-9.70503
300.0,7244_4_ants_ERN_err.dat,FCz,-9.74867
302.0,7244_4_ants_ERN_err.dat,FCz,-9.78533
304.0,7244_4_ants_ERN_err.dat,FCz,-9.81599
306.0,7244_4_ants_ERN_err.dat,FCz,-9.84115
308.0,7244_4_ants_ERN_err.dat,FCz,-9.86035
310.0,7244_4_ants_ERN_err.dat,FCz,-9.87197
312.0,7244_4_ants_ERN_err.dat,FCz,-9.87331
314.0,7244_4_ants_ERN_err.dat,FCz,-9.86045
316.0,7244_4_ants_ERN_err.dat,FCz,-9.82902
318.0,7244_4_ants_ERN_err.dat,FCz,-9.77456
320.0,7244_4_ants_ERN_err.dat,FCz,-9.69338
322.0,7244_4_ants_ERN_err.dat,FCz,-9.58336
324.0,7244_4_ants_ERN_err.dat,FCz,-9.44444
326.0,7244_4_ants_ERN_err.dat,FCz,-9.27873
328.0,7244_4_ants_ERN_err.dat,FCz,-9.09028
330.0,7244_4_ants_ERN_err.dat,FCz,-8.88436
332.0,7244_4_ants_ERN_err.dat,FCz,-8.66626
334.0,7244_4_ants_ERN_err.dat,FCz,-8.44042
336.0,7244_4_ants_ERN_err.dat,FCz,-8.2096
338.0,7244_4_ants_ERN_err.dat,FCz,-7.97467
340.0,7244_4_ants_ERN_err.dat,FCz,-7.7351
342.0,7244_4_ants_ERN_err.dat,FCz,-7.48972
344.0,7244_4_ants_ERN_err.dat,FCz,-7.23825
346.0,7244_4_ants_ERN_err.dat,FCz,-6.98251
348.0,7244_4_ants_ERN_err.dat,FCz,-6.72737
350.0,7244_4_ants_ERN_err.dat,FCz,-6.48099
352.0,7244_4_ants_ERN_err.dat,FCz,-6.25425
354.0,7244_4_ants_ERN_err.dat,FCz,-6.05936
356.0,7244_4_ants_ERN_err.dat,FCz,-5.90822
358.0,7244_4_ants_ERN_err.dat,FCz,-5.81049
360.0,7244_4_ants_ERN_err.dat,FCz,-5.77201
362.0,7244_4_ants_ERN_err.dat,FCz,-5.79371
364.0,7244_4_ants_ERN_err.dat,FCz,-5.871
366.0,7244_4_ants_ERN_err.dat,FCz,-5.99421
368.0,7244_4_ants_ERN_err.dat,FCz,-6.14925
370.0,7244_4_ants_ERN_err.dat,FCz,-6.31922
372.0,7244_4_ants_ERN_err.dat,FCz,-6.4863
374.0,7244_4_ants_ERN_err.dat,FCz,-6.63349
376.0,7244_4_ants_ERN_err.dat,FCz,-6.74654
378.0,7244_4_ants_ERN_err.dat,FCz,-6.81516
380.0,7244_4_ants_ERN_err.dat,FCz,-6.83375
382.0,7244_4_ants_ERN_err.dat,FCz,-6.80182
384.0,7244_4_ants_ERN_err.dat,FCz,-6.72369
386.0,7244_4_ants_ERN_err.dat,FCz,-6.60777
388.0,7244_4_ants_ERN_err.dat,FCz,-6.46552
390.0,7244_4_ants_ERN_err.dat,FCz,-6.30995
392.0,7244_4_ants_ERN_err.dat,FCz,-6.15414
394.0,7244_4_ants_ERN_err.dat,FCz,-6.00982
396.0,7244_4_ants_ERN_err.dat,FCz,-5.88603
398.0,7244_4_ants_ERN_err.dat,FCz,-5.78818
400.0,7244_4_ants_ERN_err.dat,FCz,-5.71755
402.0,7244_4_ants_ERN_err.dat,FCz,-5.67135
404.0,7244_4_ants_ERN_err.dat,FCz,-5.64336
406.0,7244_4_ants_ERN_err.dat,FCz,-5.62513
408.0,7244_4_ants_ERN_err.dat,FCz,-5.60751
410.0,7244_4_ants_ERN_err.dat,FCz,-5.58191
412.0,7244_4_ants_ERN_err.dat,FCz,-5.54151
414.0,7244_4_ants_ERN_err.dat,FCz,-5.4818
416.0,7244_4_ants_ERN_err.dat,FCz,-5.40041
418.0,7244_4_ants_ERN_err.dat,FCz,-5.29682
420.0,7244_4_ants_ERN_err.dat,FCz,-5.17153
422.0,7244_4_ants_ERN_err.dat,FCz,-5.02544
424.0,7244_4_ants_ERN_err.dat,FCz,-4.85954
426.0,7244_4_ants_ERN_err.dat,FCz,-4.67515
428.0,7244_4_ants_ERN_err.dat,FCz,-4.4744
430.0,7244_4_ants_ERN_err.dat,FCz,-4.26109
432.0,7244_4_ants_ERN_err.dat,FCz,-4.04134
434.0,7244_4_ants_ERN_err.dat,FCz,-3.82394
436.0,7244_4_ants_ERN_err.dat,FCz,-3.61983
438.0,7244_4_ants_ERN_err.dat,FCz,-3.44118
440.0,7244_4_ants_ERN_err.dat,FCz,-3.29971
442.0,7244_4_ants_ERN_err.dat,FCz,-3.20531
444.0,7244_4_ants_ERN_err.dat,FCz,-3.16446
446.0,7244_4_ants_ERN_err.dat,FCz,-3.17943
448.0,7244_4_ants_ERN_err.dat,FCz,-3.2478
450.0,7244_4_ants_ERN_err.dat,FCz,-3.36278
452.0,7244_4_ants_ERN_err.dat,FCz,-3.51415
454.0,7244_4_ants_ERN_err.dat,FCz,-3.68948
456.0,7244_4_ants_ERN_err.dat,FCz,-3.87575
458.0,7244_4_ants_ERN_err.dat,FCz,-4.06099
460.0,7244_4_ants_ERN_err.dat,FCz,-4.23553
462.0,7244_4_ants_ERN_err.dat,FCz,-4.39297
464.0,7244_4_ants_ERN_err.dat,FCz,-4.53037
466.0,7244_4_ants_ERN_err.dat,FCz,-4.64759
